Model,MDO34
Firmware Version,1.10.4

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,1e-08,,
Horizontal Delay,1.212e-07,,
Sample Interval,4e-10,,
Record Length,1000,,
Gating,0.1% to 100.0%,,
Probe Attenuation,1,1,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,0.5,0.2,0.2
Vertical Position,3.18,1.02,-2.22
,,,
,,,
,,,
Label,,,
TIME,CH1,CH2,CH3
1.352e-07,-0.83,-0.004,0.02
1.356e-07,-0.81,-0.012,0.012
1.360e-07,-0.810078,-0.00403125,-0.00403125
1.364e-07,-0.810078,-0.00403125,0.00396875
1.368e-07,-0.81,-0.004,0.012
1.372e-07,-0.81,0.004,0.02
1.376e-07,-0.830078,-0.00403125,0.0199688
1.380e-07,-0.81,-0.004,0.028
1.384e-07,-0.810078,-0.00403125,0.0199688
1.388e-07,-0.81,0.004,0.012
1.392e-07,-0.83,-0.004,0.012
1.396e-07,-0.81,-0.004,0.004
1.400e-07,-0.81,-0.012,0.004
1.404e-07,-0.81,-0.004,0.004
1.408e-07,-0.81,0.004,-0.004
1.412e-07,-0.83,0.004,-0.004
1.416e-07,-0.810078,-0.00403125,0.0119688
1.420e-07,-0.810078,0.0119688,0.0199688
1.424e-07,-0.81,0.004,0.004
1.428e-07,-0.810078,0.0199687,0.00396875
1.432e-07,-0.83,0.012,-0.004
1.436e-07,-0.83,-0.004,0.004
1.440e-07,-0.81,-0.004,0.012
1.444e-07,-0.810078,-0.00403125,0.0119688
1.448e-07,-0.81,-0.004,0.012
1.452e-07,-0.81,-0.02,0.004
1.456e-07,-0.830078,-0.0120313,-0.00403125
1.460e-07,-0.810078,-0.0120313,0.00396875
1.464e-07,-0.810078,-0.0120313,0.0119688
1.468e-07,-0.81,0.004,0.012
1.472e-07,-0.810078,0.00396875,0.0199688
1.476e-07,-0.810078,0.00396875,0.0119688
1.480e-07,-0.830078,0.00396875,0.0119688
1.484e-07,-0.81,0.004,0.012
1.488e-07,-0.81,-0.004,0.02
1.492e-07,-0.790078,-0.00403125,0.00396875
1.496e-07,-0.810078,0.00396875,0.00396875
1.500e-07,-0.81,0.012,-0.004
1.504e-07,-0.81,0.004,0.004
1.508e-07,-0.83,-0.004,0.004
1.512e-07,-0.81,-0.02,-0.004
1.516e-07,-0.81,-0.004,-0.004
1.520e-07,-0.810078,0.00396875,-0.00403125
1.524e-07,-0.830078,0.00396875,-0.00403125
1.528e-07,-0.81,0.004,0.004
1.532e-07,-0.81,-0.012,0.012
1.536e-07,-0.810078,-0.0120313,0.0119688
1.540e-07,-0.810078,-0.00403125,-0.00403125
1.544e-07,-0.81,-0.004,0.004
1.548e-07,-0.83,-0.004,0.004
1.552e-07,-0.810078,-0.00403125,0.00396875
1.556e-07,-0.81,-0.004,0.004
1.560e-07,-0.79,-0.004,-0.004
1.564e-07,-0.810078,0.00396875,0.00396875
1.568e-07,-0.83,-0.004,0.004
1.572e-07,-0.83,-0.004,0.004
1.576e-07,-0.81,-0.012,0.012
1.580e-07,-0.81,-0.012,0.012
1.584e-07,-0.810078,-0.00403125,0.00396875
1.588e-07,-0.830078,0.00396875,0.00396875
1.592e-07,-0.81,0.02,-0.004
1.596e-07,-0.810078,0.0199687,-0.0120312
1.600e-07,-0.81,0.004,-0.004
1.604e-07,-0.830078,0.00396875,-0.00403125
1.608e-07,-0.810078,-0.00403125,0.0119688
1.612e-07,-0.83,-0.004,0.028
1.616e-07,-0.81,0.004,0.028
1.620e-07,-0.790078,-0.00403125,0.0119688
1.624e-07,-0.810078,0.00396875,0.0119688
1.628e-07,-0.81,-0.004,0.004
1.632e-07,-0.81,-0.004,0.012
1.636e-07,-0.810078,-0.0120313,0.00396875
1.640e-07,-0.83,0.004,-0.004
1.644e-07,-0.810078,0.00396875,0.00396875
1.648e-07,-0.810078,-0.00403125,0.00396875
1.652e-07,-0.810078,-0.00403125,0.00396875
1.656e-07,-0.81,-0.004,0.004
1.660e-07,-0.810078,-0.0120313,-0.00403125
1.664e-07,-0.81,-0.004,0.004
1.668e-07,-0.810078,-0.00403125,0.00396875
1.672e-07,-0.810078,-0.0120313,0.0119688
1.676e-07,-0.810078,-0.0120313,-0.00403125
1.680e-07,-0.81,-0.004,-0.004
1.684e-07,-0.81,-0.004,0.004
1.688e-07,-0.830078,-0.0120313,0.00396875
1.692e-07,-0.810078,-0.0120313,0.00396875
1.696e-07,-0.79,-0.012,0.012
1.700e-07,-0.75,-0.012,0.004
1.704e-07,-0.630078,0.00396875,0.0119688
1.708e-07,-0.45,0.004,0.012
1.712e-07,-0.250078,0.00396875,0.0119688
1.716e-07,-0.0500781,0.00396875,0.0199688
1.720e-07,-0.01,0.004,0.012
1.724e-07,-0.01,0.004,0.004
1.728e-07,-0.05,0.004,0.004
1.732e-07,-0.0500781,0.00396875,0.00396875
1.736e-07,-0.05,0.004,-0.004
1.740e-07,-0.0100781,0.00396875,-0.00403125
1.744e-07,-0.01,0.004,-0.004
1.748e-07,-0.0300781,0.00396875,0.0119688
1.752e-07,-0.05,0.02,0.012
1.756e-07,-0.03,0.02,0.004
1.760e-07,-0.0300781,0.0199687,0.00396875
1.764e-07,-0.01,0.012,-0.004
1.768e-07,-0.0300781,0.00396875,-0.00403125
1.772e-07,-0.0100781,0.00396875,0.00396875
1.776e-07,-0.0100781,0.00396875,-0.00403125
1.780e-07,-0.03,-0.004,0.004
1.784e-07,-0.0100781,-0.00403125,0.0119688
1.788e-07,-0.0300781,-0.00403125,0.0119688
1.792e-07,-0.0100781,0.00396875,0.0119688
1.796e-07,-0.0100781,0.0119688,0.0119688
1.800e-07,-0.01,0.004,0.004
1.804e-07,-0.01,-0.004,0.012
1.808e-07,-0.0300781,-0.0120313,0.0119688
1.812e-07,-0.0100781,-0.0120313,0.0119688
1.816e-07,-0.03,-0.012,0.012
1.820e-07,-0.0300781,-0.00403125,0.0119688
1.824e-07,-0.01,-0.012,0.02
1.828e-07,-0.0100781,-0.00403125,0.0119688
1.832e-07,-0.0100781,0.00396875,0.0119688
1.836e-07,-0.01,0.004,0.004
1.840e-07,-0.0100781,0.00396875,0.00396875
1.844e-07,-0.01,-0.004,0.004
1.848e-07,-0.0100781,-0.0200313,0.00396875
1.852e-07,-0.0100781,-0.0200313,0.00396875
1.856e-07,-0.0100781,-0.0120313,0.0119688
1.860e-07,-0.0100781,-0.00403125,0.0199688
1.864e-07,-0.0100781,0.0119688,0.0199688
1.868e-07,-0.03,0.004,0.004
1.872e-07,-0.01,-0.004,-0.004
1.876e-07,-0.0100781,-0.00403125,0.0119688
1.880e-07,-0.0100781,-0.00403125,0.00396875
1.884e-07,-0.01,0.004,0.004
1.888e-07,-0.01,0.004,0.012
1.892e-07,-0.01,0.004,0.004
1.896e-07,-0.01,-0.004,0.012
1.900e-07,-0.01,-0.02,0.012
1.904e-07,-0.0100781,-0.00403125,0.0119688
1.908e-07,-0.01,0.004,0.028
1.912e-07,-0.0100781,0.00396875,0.0119688
1.916e-07,-0.01,-0.004,0.012
1.920e-07,-0.01,-0.012,0.004
1.924e-07,-0.0100781,-0.0120313,0.00396875
1.928e-07,-0.01,-0.004,0.012
1.932e-07,0.00992187,0.00396875,0.0119688
1.936e-07,-0.0100781,0.0119688,0.0119688
1.940e-07,-0.03,0.004,-0.004
1.944e-07,-0.0300781,0.00396875,0.00396875
1.948e-07,-0.01,0.012,0.012
1.952e-07,-0.0100781,0.00396875,0.00396875
1.956e-07,-0.01,0.012,0.004
1.960e-07,-0.01,0.004,0.004
1.964e-07,-0.0100781,0.00396875,0.0119688
1.968e-07,-0.0100781,0.00396875,0.0119688
1.972e-07,-0.0100781,-0.00403125,0.0119688
1.976e-07,-0.0100781,0.00396875,0.0119688
1.980e-07,-0.0100781,0.00396875,0.0119688
1.984e-07,-0.0100781,-0.00403125,0.0119688
1.988e-07,-0.0100781,-0.0120313,0.0119688
1.992e-07,0.00992187,-0.0120313,0.00396875
1.996e-07,0.01,-0.012,0.004
2.000e-07,-0.0100781,-0.00403125,0.0119688
2.004e-07,-0.0100781,0.00396875,0.0119688
2.008e-07,0.01,0.004,0.012
2.012e-07,0.00992187,-0.00403125,0.00396875
2.016e-07,0.00992187,-0.0120313,-0.00403125
2.020e-07,-0.0100781,-0.0120313,0.00396875
2.024e-07,-0.0100781,-0.00403125,0.0119688
2.028e-07,-0.01,0.012,0.012
2.032e-07,-0.0100781,-0.00403125,0.0119688
2.036e-07,-0.01,-0.012,0.02
2.040e-07,0.00992187,-0.00403125,0.0119688
2.044e-07,-0.01,-0.004,0.004
2.048e-07,-0.0100781,0.00396875,-0.00403125
2.052e-07,-0.01,0.004,0.004
2.056e-07,-0.01,-0.004,0.012
2.060e-07,-0.01,-0.004,0.02
2.064e-07,-0.0100781,-0.0120313,0.0199688
2.068e-07,-0.0100781,0.00396875,0.0119688
2.072e-07,-0.01,0.012,0.012
2.076e-07,-0.0100781,0.00396875,0.0119688
2.080e-07,0.01,0.004,0.012
2.084e-07,-0.0100781,0.00396875,0.0199688
2.088e-07,-0.0100781,-0.00403125,0.0199688
2.092e-07,-0.0100781,-0.0120313,0.0279688
2.096e-07,-0.0100781,-0.0120313,0.0199688
2.100e-07,-0.01,-0.004,0.012
2.104e-07,-0.01,-0.004,0.004
2.108e-07,-0.0100781,-0.00403125,0.0119688
2.112e-07,-0.0100781,-0.0120313,0.0119688
2.116e-07,-0.0100781,-0.00403125,0.0119688
2.120e-07,0.01,0.004,0.004
2.124e-07,-0.01,0.012,-0.004
2.128e-07,-0.0100781,0.0119688,0.00396875
2.132e-07,-0.01,0.004,0.004
2.136e-07,0.01,-0.004,-0.004
2.140e-07,-0.0100781,-0.0120313,-0.00403125
2.144e-07,-0.01,-0.012,-0.004
2.148e-07,-0.0100781,-0.00403125,0.00396875
2.152e-07,-0.0100781,0.00396875,0.00396875
2.156e-07,-0.01,0.004,0.012
2.160e-07,-0.01,-0.012,0.012
2.164e-07,-0.03,-0.02,0.012
2.168e-07,0.00992187,-0.0120313,0.00396875
2.172e-07,0.01,-0.004,0.004
2.176e-07,-0.0100781,0.00396875,-0.00403125
2.180e-07,-0.0100781,0.0119688,-0.00403125
2.184e-07,-0.01,0.004,-0.004
2.188e-07,-0.01,0.012,0.004
2.192e-07,-0.0100781,0.00396875,-0.00403125
2.196e-07,0.00992187,-0.00403125,-0.00403125
2.200e-07,-0.01,-0.004,0.004
2.204e-07,-0.01,-0.012,0.012
2.208e-07,-0.0100781,-0.0120313,0.0199688
2.212e-07,-0.0100781,-0.00403125,0.0119688
2.216e-07,-0.0100781,-0.00403125,0.0119688
2.220e-07,-0.01,-0.004,0.004
2.224e-07,-0.01,-0.004,0.004
2.228e-07,-0.0100781,0.00396875,0.0119688
2.232e-07,0.00992187,-0.00403125,0.00396875
2.236e-07,-0.0100781,-0.0120313,0.00396875
2.240e-07,-0.01,-0.012,-0.004
2.244e-07,-0.0100781,-0.00403125,0.0119688
2.248e-07,-0.01,0.012,0.012
2.252e-07,0.01,-0.004,0.012
2.256e-07,0.01,-0.004,0.004
2.260e-07,-0.01,-0.004,0.012
2.264e-07,-0.0100781,-0.00403125,0.0119688
2.268e-07,-0.0100781,0.00396875,0.0199688
2.272e-07,0.00992187,0.00396875,0.0359688
2.276e-07,-0.0100781,-0.00403125,0.0279688
2.280e-07,-0.0100781,-0.00403125,0.0119688
2.284e-07,-0.01,-0.004,0.012
2.288e-07,-0.01,-0.004,0.012
2.292e-07,0.00992187,0.00396875,0.0119688
2.296e-07,-0.01,0.004,0.004
2.300e-07,-0.01,-0.004,0.012
2.304e-07,0.01,-0.004,0.012
2.308e-07,-0.0100781,-0.00403125,0.0119688
2.312e-07,0.01,-0.004,0.012
2.316e-07,-0.01,0.004,0.004
2.320e-07,-0.0100781,0.00396875,0.00396875
2.324e-07,-0.0100781,0.00396875,0.0119688
2.328e-07,-0.0100781,-0.00403125,0.0119688
2.332e-07,-0.0100781,-0.0120313,0.00396875
2.336e-07,-0.0100781,-0.0120313,0.00396875
2.340e-07,-0.01,-0.012,0.004
2.344e-07,-0.0100781,-0.0200313,0.0199688
2.348e-07,-0.0100781,-0.0120313,0.0119688
2.352e-07,0.01,0.004,0.012
2.356e-07,-0.0100781,-0.00403125,0.0119688
2.360e-07,-0.0100781,0.00396875,0.00396875
2.364e-07,-0.0100781,0.00396875,0.00396875
2.368e-07,0.00992187,0.00396875,-0.00403125
2.372e-07,0.01,-0.004,-0.004
2.376e-07,0.01,0.004,0.012
2.380e-07,-0.01,0.004,0.012
2.384e-07,-0.0100781,0.00396875,0.0199688
2.388e-07,-0.0100781,-0.00403125,0.0199688
2.392e-07,-0.01,-0.012,0.004
2.396e-07,0.00992187,-0.00403125,0.0119688
2.400e-07,-0.01,0.02,-0.004
2.404e-07,-0.01,0.02,-0.004
2.408e-07,-0.0100781,0.0119688,0.00396875
2.412e-07,-0.01,0.004,0.012
2.416e-07,-0.01,0.004,0.012
2.420e-07,-0.01,0.012,0.004
2.424e-07,-0.0100781,0.0119688,-0.0120312
2.428e-07,-0.01,0.012,-0.012
2.432e-07,-0.0100781,-0.00403125,0.00396875
2.436e-07,0.00992187,-0.00403125,0.0119688
2.440e-07,-0.0100781,0.00396875,0.0119688
2.444e-07,-0.0100781,-0.00403125,0.00396875
2.448e-07,0.00992187,-0.00403125,0.00396875
2.452e-07,-0.0100781,-0.0120313,0.0119688
2.456e-07,-0.0100781,0.00396875,0.0119688
2.460e-07,-0.0100781,-0.00403125,0.00396875
2.464e-07,-0.01,0.004,0.012
2.468e-07,-0.0300781,-0.00403125,0.0119688
2.472e-07,-0.01,-0.012,0.004
2.476e-07,-0.01,-0.004,0.004
2.480e-07,-0.0100781,0.00396875,0.00396875
2.484e-07,-0.0100781,0.00396875,0.00396875
2.488e-07,0.01,-0.012,0.012
2.492e-07,-0.01,-0.004,0.004
2.496e-07,-0.0100781,0.00396875,-0.00403125
2.500e-07,-0.01,-0.004,0.012
2.504e-07,0.00992187,-0.00403125,0.00396875
2.508e-07,-0.01,-0.004,0.012
2.512e-07,-0.01,-0.004,0.02
2.516e-07,-0.01,0.004,0.012
2.520e-07,-0.01,0.004,0.004
2.524e-07,-0.0100781,0.00396875,0.00396875
2.528e-07,-0.0100781,0.00396875,0.00396875
2.532e-07,-0.01,-0.004,0.004
2.536e-07,-0.01,-0.012,0.012
2.540e-07,-0.0100781,-0.0120313,0.0119688
2.544e-07,-0.01,0.004,0.012
2.548e-07,-0.01,0.004,0.012
2.552e-07,-0.01,0.004,0.012
2.556e-07,0.01,0.004,0.012
2.560e-07,0.00992187,0.00396875,0.0119688
2.564e-07,-0.01,0.004,0.012
2.568e-07,0.00992187,0.0199687,0.0119688
2.572e-07,-0.01,0.012,0.004
2.576e-07,-0.0100781,0.00396875,-0.00403125
2.580e-07,-0.01,0.004,-0.004
2.584e-07,-0.0100781,-0.00403125,-0.00403125
2.588e-07,-0.01,0.004,0.004
2.592e-07,-0.01,0.012,0.004
2.596e-07,-0.0100781,0.00396875,0.00396875
2.600e-07,-0.01,-0.012,0.012
2.604e-07,-0.01,-0.012,0.004
2.608e-07,0.01,-0.004,0.004
2.612e-07,-0.0100781,-0.00403125,0.0119688
2.616e-07,0.01,0.004,0.02
2.620e-07,-0.01,-0.004,0.02
2.624e-07,-0.0100781,-0.00403125,0.0199688
2.628e-07,-0.0100781,0.00396875,0.0199688
2.632e-07,-0.0100781,0.00396875,0.0119688
2.636e-07,0.01,0.004,0.012
2.640e-07,-0.01,0.004,-0.004
2.644e-07,0.01,0.004,0.012
2.648e-07,0.01,0.004,0.012
2.652e-07,-0.0100781,0.00396875,0.00396875
2.656e-07,-0.01,0.004,0.004
2.660e-07,-0.01,0.004,0.004
2.664e-07,-0.0100781,0.0119688,0.00396875
2.668e-07,-0.0100781,0.00396875,0.0119688
2.672e-07,0.01,-0.004,0.012
2.676e-07,-0.0100781,-0.0120313,0.00396875
2.680e-07,-0.0100781,-0.0200313,0.00396875
2.684e-07,0.01,-0.02,0.012
2.688e-07,-0.0100781,-0.0120313,0.0119688
2.692e-07,-0.01,0.004,0.004
2.696e-07,-0.01,0.004,-0.004
2.700e-07,-0.0100781,0.00396875,0.00396875
2.704e-07,-0.0100781,0.00396875,0.00396875
2.708e-07,-0.01,0.004,0.012
2.712e-07,-0.01,-0.012,0.012
2.716e-07,-0.01,-0.012,0.004
2.720e-07,-0.01,-0.012,0.004
2.724e-07,-0.01,-0.004,0.004
2.728e-07,-0.01,0.004,0.02
2.732e-07,-0.01,-0.012,0.012
2.736e-07,-0.01,-0.012,0.012
2.740e-07,0.01,-0.004,0.004
2.744e-07,-0.01,0.004,-0.004
2.748e-07,-0.0100781,-0.0120313,0.00396875
2.752e-07,-0.01,-0.02,0.012
2.756e-07,0.01,0.004,0.012
2.760e-07,-0.0100781,-0.00403125,0.0119688
2.764e-07,-0.01,-0.012,0.012
2.768e-07,-0.0100781,-0.0120313,0.00396875
2.772e-07,-0.01,-0.012,0.004
2.776e-07,-0.0100781,-0.00403125,-0.00403125
2.780e-07,-0.0100781,0.0119688,-0.00403125
2.784e-07,-0.03,0.012,-0.004
2.788e-07,-0.03,0.004,0.004
2.792e-07,-0.0100781,0.0119688,0.0119688
2.796e-07,-0.0100781,0.00396875,0.00396875
2.800e-07,-0.01,-0.004,0.004
2.804e-07,-0.01,0.004,0.004
2.808e-07,-0.0100781,0.00396875,0.00396875
2.812e-07,-0.0100781,-0.00403125,0.00396875
2.816e-07,-0.01,-0.004,0.012
2.820e-07,-0.0300781,-0.00403125,0.0119688
2.824e-07,-0.01,-0.004,0.02
2.828e-07,-0.01,0.012,0.012
2.832e-07,-0.0100781,0.0199687,0.00396875
2.836e-07,0.00992187,0.00396875,0.00396875
2.840e-07,-0.0100781,-0.00403125,0.0119688
2.844e-07,0.00992187,-0.00403125,0.00396875
2.848e-07,-0.01,0.004,0.012
2.852e-07,0.00992187,0.00396875,0.0119688
2.856e-07,0.00992187,0.0119688,0.0119688
2.860e-07,-0.0100781,0.0119688,0.0199688
2.864e-07,-0.0100781,-0.00403125,0.0199688
2.868e-07,-0.0100781,-0.00403125,0.0199688
2.872e-07,-0.01,-0.012,0.012
2.876e-07,-0.0100781,-0.0120313,0.0119688
2.880e-07,0.00992187,-0.00403125,-0.00403125
2.884e-07,-0.0100781,-0.00403125,-0.00403125
2.888e-07,-0.01,0.004,0.004
2.892e-07,-0.01,0.012,0.004
2.896e-07,-0.01,-0.004,0.012
2.900e-07,-0.01,-0.012,0.012
2.904e-07,-0.01,-0.012,0.012
2.908e-07,0.01,-0.012,0.004
2.912e-07,0.01,-0.012,0.004
2.916e-07,-0.0100781,-0.00403125,0.00396875
2.920e-07,-0.01,-0.004,0.004
2.924e-07,-0.01,-0.004,0.02
2.928e-07,-0.0100781,0.00396875,0.0119688
2.932e-07,-0.01,0.004,0.012
2.936e-07,-0.01,0.004,0.004
2.940e-07,-0.01,-0.004,0.004
2.944e-07,0.01,0.012,0.012
2.948e-07,-0.01,-0.012,0.02
2.952e-07,-0.0100781,0.00396875,0.0119688
2.956e-07,0.01,0.004,0.012
2.960e-07,-0.01,0.004,0.004
2.964e-07,-0.01,-0.004,0.012
2.968e-07,-0.01,0.004,0.004
2.972e-07,-0.0100781,0.00396875,0.0119688
2.976e-07,-0.0100781,-0.00403125,0.00396875
2.980e-07,-0.0300781,-0.00403125,-0.0120312
2.984e-07,-0.0100781,0.00396875,-0.0120312
2.988e-07,-0.0100781,0.00396875,-0.0120312
2.992e-07,-0.0100781,-0.00403125,0.00396875
2.996e-07,-0.0100781,-0.00403125,0.0119688
3.000e-07,-0.0100781,-0.0120313,0.00396875
3.004e-07,-0.01,0.004,0.012
3.008e-07,-0.01,0.004,0.012
3.012e-07,-0.01,-0.004,0.012
3.016e-07,-0.0100781,-0.00403125,0.0199688
3.020e-07,-0.0100781,-0.00403125,0.0199688
3.024e-07,0.00992187,-0.0120313,0.00396875
3.028e-07,-0.01,-0.004,0.004
3.032e-07,-0.01,0.004,0.012
3.036e-07,0.01,-0.004,0.012
3.040e-07,-0.01,-0.004,0.012
3.044e-07,-0.0100781,-0.00403125,0.0119688
3.048e-07,0.01,0.004,0.012
3.052e-07,-0.01,-0.004,0.012
3.056e-07,-0.01,-0.004,-0.004
3.060e-07,-0.0100781,0.00396875,-0.0120312
3.064e-07,-0.0100781,0.00396875,0.00396875
3.068e-07,-0.01,0.004,0.004
3.072e-07,0.01,0.004,0.012
3.076e-07,-0.01,0.004,0.012
3.080e-07,-0.01,-0.004,0.004
3.084e-07,-0.0100781,-0.00403125,0.00396875
3.088e-07,-0.01,-0.004,-0.004
3.092e-07,-0.01,-0.004,-0.004
3.096e-07,-0.0100781,0.00396875,0.00396875
3.100e-07,-0.01,-0.004,0.012
3.104e-07,-0.0100781,-0.0120313,0.0119688
3.108e-07,0.01,-0.004,0.012
3.112e-07,-0.0100781,0.00396875,0.0119688
3.116e-07,-0.0100781,0.00396875,0.0199688
3.120e-07,0.01,0.004,0.012
3.124e-07,-0.0100781,0.0119688,0.00396875
3.128e-07,-0.0100781,0.0119688,0.0119688
3.132e-07,0.00992187,0.0119688,0.0119688
3.136e-07,-0.0100781,0.00396875,0.0119688
3.140e-07,-0.0100781,-0.00403125,0.0199688
3.144e-07,-0.01,-0.004,0.012
3.148e-07,-0.0100781,0.00396875,0.0119688
3.152e-07,-0.01,-0.004,0.02
3.156e-07,-0.0100781,-0.00403125,0.0119688
3.160e-07,-0.0100781,-0.00403125,0.00396875
3.164e-07,0.01,-0.012,0.004
3.168e-07,-0.01,-0.004,0.004
3.172e-07,-0.01,0.004,0.004
3.176e-07,-0.01,0.004,0.02
3.180e-07,-0.0100781,0.00396875,0.0199688
3.184e-07,-0.01,-0.004,0.012
3.188e-07,-0.0100781,-0.00403125,-0.00403125
3.192e-07,0.01,-0.004,0.004
3.196e-07,-0.01,0.004,0.004
3.200e-07,-0.0100781,0.0119688,0.0119688
3.204e-07,-0.0100781,0.00396875,0.0199688
3.208e-07,-0.01,0.012,0.004

