Model,MDO34
Firmware Version,1.10.4

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,1e-08,,
Horizontal Delay,1.212e-07,,
Sample Interval,4e-10,,
Record Length,1000,,
Gating,0.1% to 100.0%,,
Probe Attenuation,1,1,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,0.5,0.2,0.2
Vertical Position,3.18,1.02,-2.22
,,,
,,,
,,,
Label,,,
TIME,CH1,CH2,CH3
-3.080e-08,-0.0100781,-0.0120313,0.0119688
-3.040e-08,-0.01,-0.004,-0.004
-3.000e-08,0.01,-0.004,-0.012
-2.960e-08,-0.01,-0.012,-0.004
-2.920e-08,0.00992187,-0.0200313,-0.0120312
-2.880e-08,0.01,-0.012,-0.004
-2.840e-08,0.00992187,0.00396875,0.0119688
-2.800e-08,-0.01,0.004,0.012
-2.760e-08,-0.0100781,-0.00403125,0.0199688
-2.720e-08,0.00992187,-0.00403125,0.0119688
-2.680e-08,-0.0100781,-0.00403125,0.0119688
-2.640e-08,-0.0100781,-0.00403125,-0.00403125
-2.600e-08,-0.01,-0.004,0.012
-2.560e-08,-0.01,-0.004,0.012
-2.520e-08,0.00992187,-0.00403125,0.0119688
-2.480e-08,0.00992187,-0.00403125,0.0119688
-2.440e-08,-0.01,-0.004,0.012
-2.400e-08,-0.0100781,0.00396875,0.00396875
-2.360e-08,-0.0100781,0.00396875,0.00396875
-2.320e-08,-0.01,-0.004,-0.004
-2.280e-08,-0.01,0.004,0.004
-2.240e-08,0.00992187,0.0119688,0.00396875
-2.200e-08,-0.0100781,0.0199687,0.0119688
-2.160e-08,-0.0100781,0.0119688,0.0119688
-2.120e-08,-0.0100781,0.00396875,0.00396875
-2.080e-08,-0.01,0.004,-0.004
-2.040e-08,0.00992187,-0.0120313,-0.00403125
-2.000e-08,-0.01,-0.012,-0.004
-1.960e-08,-0.01,-0.012,-0.004
-1.920e-08,0.01,-0.012,-0.004
-1.880e-08,0.01,-0.012,-0.004
-1.840e-08,-0.03,-0.004,0.004
-1.800e-08,0.00992187,0.00396875,0.00396875
-1.760e-08,-0.0100781,-0.00403125,0.0119688
-1.720e-08,-0.01,-0.004,0.012
-1.680e-08,-0.0100781,0.00396875,0.0199688
-1.640e-08,-0.01,0.004,0.012
-1.600e-08,-0.01,0.012,0.012
-1.560e-08,-0.01,0.02,0.02
-1.520e-08,-0.01,0.012,0.02
-1.480e-08,0.00992187,0.00396875,0.0119688
-1.440e-08,-0.0100781,-0.0120313,0.0119688
-1.400e-08,-0.01,-0.004,0.012
-1.360e-08,-0.0100781,-0.00403125,0.00396875
-1.320e-08,-0.01,-0.004,0.004
-1.280e-08,0.01,-0.012,-0.004
-1.240e-08,-0.01,0.004,-0.004
-1.200e-08,-0.0100781,-0.00403125,0.0119688
-1.160e-08,-0.01,-0.012,0.02
-1.120e-08,0.00992187,-0.0120313,0.0199688
-1.080e-08,0.01,-0.012,0.012
-1.040e-08,-0.0100781,0.00396875,0.00396875
-1.000e-08,0.01,0.004,0.004
-9.600e-09,0.01,0.004,0.028
-9.200e-09,0.00992187,-0.0120313,0.0359688
-8.800e-09,-0.01,-0.012,0.028
-8.400e-09,0.00992187,-0.0120313,0.0119688
-8.000e-09,-0.01,-0.004,0.004
-7.600e-09,-0.0100781,0.00396875,0.0119688
-7.200e-09,-0.01,0.004,0.02
-6.800e-09,-0.01,0.004,0.028
-6.400e-09,0.01,-0.004,0.02
-6.000e-09,0.01,0.004,0.012
-5.600e-09,-0.0100781,-0.00403125,0.0119688
-5.200e-09,-0.01,0.004,0.004
-4.800e-09,-0.01,-0.004,0.004
-4.400e-09,-0.01,0.004,-0.004
-4.000e-09,-0.0100781,-0.00403125,0.0119688
-3.600e-09,-0.0100781,0.00396875,0.0119688
-3.200e-09,-0.01,0.004,0.012
-2.800e-09,-0.0100781,-0.0120313,0.00396875
-2.400e-09,0.00992187,-0.00403125,0.0119688
-2.000e-09,0.00992187,-0.0120313,0.00396875
-1.600e-09,0.01,-0.012,0.004
-1.200e-09,-0.01,-0.004,-0.004
-8.000e-10,-0.110078,-0.00403125,-0.00403125
-4.000e-10,-0.350078,0.00396875,-0.00403125
-0.000e+00,-0.610078,0.00396875,0.00396875
4.000e-10,-0.790078,0.00396875,-0.00403125
8.000e-10,-0.810078,0.0119688,0.00396875
1.200e-09,-0.75,-0.004,0.012
1.600e-09,-0.710078,-0.00403125,0.0119688
2.000e-09,-0.75,-0.012,0.012
2.400e-09,-0.79,-0.004,0.012
2.800e-09,-0.790078,0.0119688,0.0119688
3.200e-09,-0.79,0.004,0.02
3.600e-09,-0.770078,-0.0280313,0.0199688
4.000e-09,-0.77,-0.14,0.1
4.400e-09,-0.79,-0.444,0.324
4.800e-09,-0.790078,-0.812031,0.587969
5.200e-09,-0.790078,-0.852031,0.659969
5.600e-09,-0.790078,-0.564031,0.483969
6.000e-09,-0.790078,-0.308031,0.323969
6.400e-09,-0.790078,-0.260031,0.307969
6.800e-09,-0.77,-0.22,0.276
7.200e-09,-0.79,-0.092,0.132
7.600e-09,-0.81,-0.036,0.028
8.000e-09,-0.77,-0.052,0.028
8.400e-09,-0.810078,-0.0520313,0.0359688
8.800e-09,-0.81,-0.02,0.02
9.200e-09,-0.790078,-0.0440313,0.0359688
9.600e-09,-0.790078,-0.0760313,0.0679688
1.000e-08,-0.79,-0.036,0.044
1.040e-08,-0.81,0.028,-0.012
1.080e-08,-0.81,0.012,-0.012
1.120e-08,-0.81,-0.036,0.028
1.160e-08,-0.81,-0.028,0.044
1.200e-08,-0.810078,0.0359687,0.00396875
1.240e-08,-0.79,0.06,-0.028
1.280e-08,-0.79,0.036,-0.028
1.320e-08,-0.79,-0.012,-0.004
1.360e-08,-0.790078,0.00396875,0.0199688
1.400e-08,-0.81,0.052,-0.02
1.440e-08,-0.79,0.084,-0.052
1.480e-08,-0.810078,0.0359687,-0.0280312
1.520e-08,-0.79,-0.004,0.012
1.560e-08,-0.79,0.004,0.004
1.600e-08,-0.81,0.044,-0.036
1.640e-08,-0.81,0.052,-0.052
1.680e-08,-0.810078,0.0199687,-0.0280312
1.720e-08,-0.81,0.004,0.004
1.760e-08,-0.810078,0.0119688,-0.0200312
1.800e-08,-0.81,0.036,-0.036
1.840e-08,-0.81,0.02,-0.028
1.880e-08,-0.810078,0.0119688,-0.00403125
1.920e-08,-0.81,0.004,-0.004
1.960e-08,-0.810078,0.0279687,-0.0200312
2.000e-08,-0.79,0.02,-0.012
2.040e-08,-0.79,0.012,0.004
2.080e-08,-0.81,-0.004,-0.004
2.120e-08,-0.810078,0.0279687,-0.0280312
2.160e-08,-0.81,0.044,-0.036
2.200e-08,-0.81,0.02,-0.02
2.240e-08,-0.810078,0.00396875,0.00396875
2.280e-08,-0.81,0.012,0.004
2.320e-08,-0.810078,0.0359687,-0.0280312
2.360e-08,-0.79,0.044,-0.028
2.400e-08,-0.810078,0.00396875,-0.0120312
2.440e-08,-0.810078,-0.0200313,0.0199688
2.480e-08,-0.81,-0.004,0.004
2.520e-08,-0.830078,0.0279687,-0.0200312
2.560e-08,-0.81,0.028,-0.004
2.600e-08,-0.810078,-0.00403125,0.0119688
2.640e-08,-0.790078,-0.00403125,0.0119688
2.680e-08,-0.79,0.012,-0.012
2.720e-08,-0.810078,0.0359687,-0.0280312
2.760e-08,-0.81,0.02,0.004
2.800e-08,-0.81,0.004,0.012
2.840e-08,-0.810078,0.0119688,-0.0120312
2.880e-08,-0.790078,0.0119688,-0.0120312
2.920e-08,-0.810078,0.00396875,0.00396875
2.960e-08,-0.79,-0.012,0.012
3.000e-08,-0.810078,-0.00403125,0.00396875
3.040e-08,-0.810078,0.0199687,-0.0120312
3.080e-08,-0.79,0.012,-0.004
3.120e-08,-0.83,-0.004,0.028
3.160e-08,-0.810078,-0.0200313,0.0279688
3.200e-08,-0.83,-0.004,0.004
3.240e-08,-0.810078,0.0199687,-0.0120312
3.280e-08,-0.81,0.004,-0.012
3.320e-08,-0.830078,-0.00403125,0.0199688
3.360e-08,-0.81,-0.02,0.028
3.400e-08,-0.810078,-0.00403125,0.0119688
3.440e-08,-0.81,0.012,-0.012
3.480e-08,-0.810078,-0.00403125,-0.00403125
3.520e-08,-0.810078,-0.0120313,0.0119688
3.560e-08,-0.810078,-0.00403125,0.0119688
3.600e-08,-0.810078,0.0119688,-0.00403125
3.640e-08,-0.81,0.012,0.004
3.680e-08,-0.810078,-0.0120313,0.0119688
3.720e-08,-0.810078,-0.0120313,0.0119688
3.760e-08,-0.81,0.004,-0.004
3.800e-08,-0.81,-0.004,-0.004
3.840e-08,-0.810078,-0.0120313,0.0119688
3.880e-08,-0.810078,-0.0200313,0.0199688
3.920e-08,-0.81,0.004,0.02
3.960e-08,-0.810078,0.0199687,0.0119688
4.000e-08,-0.810078,0.00396875,0.00396875
4.040e-08,-0.810078,-0.0120313,0.0199688
